redcode,issuer_cusip,first_date,last_date,ticker,shortname
05C94H,05722G,2017-07-12,2019-08-28,BAKERHU,Baker Hughes a GE Co LLC
27CA3F,25746U,2017-05-30,2019-08-28,DOMINEN,Dominion Energy Inc
2BB87B,29261A,2018-01-11,2019-08-28,ENCOHEA,ENCOMPASS HEALTH CORP
3BA7EO,02079K,2017-10-06,2019-08-28,GOOGLLC,Google LLC
3D233N,30212P,2018-04-23,2019-08-28,EXPEGRO,Expedia Group Inc
4ACACN,466313,2017-07-20,2019-08-28,JABIINC,Jabil Inc
9A4570,91325V,2017-03-17,2019-08-28,UNITIGR,Uniti Group Inc
9BAC4M,92840M,2018-06-11,2019-08-28,VISTREN,Vistra Energy Corp
9C58DM,931142,2018-02-23,2019-08-28,WALMINC,WALMART INC
9C645J,254687,2019-04-16,2019-08-28,THWALT,Walt Disney Co.
9HBAGO,983793,2017-02-08,2019-08-28,XPOCNW,XPO CNW Inc
U2G91L,88160R,2018-06-26,2019-08-28,TESLINC,Tesla Inc
